#SampleID,Sample,State,Sample_Site,Collected_Date,Collected_Time,ClassificatioN,Land_use,Ag,P,N,STATION_ID,SAMPLE_DATE.bottle,SAMPLE_DATE.Actual,SAMPLE_TIME,CURRENT_SITE_NAME,CLASS,PH,SPC,BEDROCK.SUBSTRATE,BOULDER.SUBSTRATE,COBBLE.SUBSTRATE,GRAVEL.SUBSTRATE,SAND.SUBSTRATE,SILT.SUBSTRATE,CLAY.SUBSTRATE,VEGETATION.SUBSTRATE,DETRITUS.SUBSTRATE,RIFFLE,POOL,RUN,CASCADE,RAPID,DEADWATER,TOTAL_AREA_AC,TOTAL_AREA_HA,TOTAL_LAND_AREA_AC,TOTAL_LAND_AREA_HA,HIGH_INTENSITY_DEV_AC,HIGH_INTENSITY_DEV_HA,HIGH_INTENSITY_DEV_PCT_TA,HIGH_INTENSITY_DEV_PCT_TLA,MED_INTENSITY_DEV_AC,MED_INTENSITY_DEV_HA,MED_INTENSITY_DEV_PCT_TA,MED_INTENSITY_DEV_PCT_TLA,LOW_INTENSITY_DEV_AC,LOW_INTENSITY_DEV_HA,LOW_INTENSITY_DEV_PCT_TA,LOW_INTENSITY_DEV_PCT_TLA,ALL_DEV_AC,ALL_DEV_HA,ALL_DEV_PCT_TA,ALL_DEV_PCT_TLA,TILLED_AGRICULTURE_AC,TILLED_AGRICULTURE_HA,TILLED_AGRICULTURE_PCT_TA,TILLED_AGRICULTURE_PCT_TLA,GRASSLANDS,GRASSLANDS_AC,GRASSLANDS_HA,GRASSLANDS_PCT_TA,GRASSLANDS_PCT_TLA,UPLAND_WOODY,UPLAND_WOODY_AC,UPLAND_WOODY_HA,UPLAND_WOODY_PCT_TA,UPLAND_WOODY_PCT_TLA,WETLANDS_AC,WETLANDS_HA,WETLANDS_PCT_TA,WETLANDS_PCT_TLA,NONVEGETATED_AC,NONVEGETATED_HA,NONVEGETATED_PCT_TA,WATER_AC,WATER_HA,WATER_PCT_TA,HUMAN_ALTERED,HUMAN_ALTERED_AC,HUMAN_ALTERED_HA,HUMAN_ALTERED_PCT_TA,HUMAN_ALTERED_PCT_TLA,SOURCE_LC_YEAR,NATURAL,NATURAL_AC,NATURAL_HA,NATURAL_PCT_TA,NATURAL_PCT_TLA,EGAD_SEQ.y,IMPERV_AC,IMPERV_HA,IMPERV_PCT_TA,IMPERV_PCT_TLA
#q2:types,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical
ME253b072022,sample,ME,253,7/20/2022,,,,,,,253,7/20/2022,7/20/2022,11:16,COBBOSSEECONTEE STREAM - STATION 253,B,8.14,149.9,0,10,40,25,25,0,0,0,0,0,15,85,0,0,0,123938.9177,50158.08,108924.4626,44081.73,200.5930319,81.18,0.1618483,0.184157927,986.7309118,399.33,0.796142915,0.9058855,3608.673091,1460.43,2.911654513,0.9058855,4795.997035,1940.94,3.869645728,4.40304861,61.37879911,24.84,0.049523427,0.056349876,60028200,14832.76501,6002.82,11.9678026,13.61747826,344355300,85089.02891,34435.53,68.6540035,78.11746499,11963.97331,4841.82,9.653120694,10.98373408,438.9918458,177.66,0.40302411,15014.45515,6076.35,12.11439912,99019800,24467.45738,9901.98,19.74154513,22.46277539,NLCD2016,454578300,112324.7591,45457.83,90.62912695,103.1217014,56996,5539.287784,2241.67,4.00200844,4.48617525
ME74b071222,sample,ME,74,7/12/2022,,,,,,,74,7/12/2022,7/12/2022,13:15,SHEEPSCOT RIVER - STATION 74,AA,7.61,92.7,0,50,40,5,5,0,0,0,0,20,0,80,0,0,0,87888.43588,35568.45,84340.02965,34132.41,29.35507784,11.88,0.033400387,0.034805629,214.381023,86.76,0.243924039,0.254186563,1013.639733,410.22,1.153325489,0.254186563,1257.375834,508.86,1.430649916,1.49084111,484.3587843,196.02,0.551106388,0.574292879,30317400,7491.326909,3031.74,8.523677585,8.882291054,247931100,61262.93551,24793.11,69.7053428,72.63802937,14097.33136,5705.19,16.04002986,16.71487598,323.1282431,130.77,0.383125598,3548.406227,1436.04,4.037398312,39669300,9802.149741,3966.93,11.15294594,11.62217962,NLCD2016,336608100,83174.72202,33660.81,94.63670753,98.618322,56817,2715.737847,1099.02,3.02934875,3.16319831
ME604b071922,sample,ME,604,7/19/2022,,,,,,,604,7/19/2022,7/19/2022,11:00,CHINA LAKE OUTLET STREAM - STATION 604,B,7.77,162.7,0,5,50,20,15,10,0,0,0,40,0,60,0,0,0,27566.41957,11156.13,23497.85026,9509.58,35.35952557,14.31,0.128270287,0.150479832,192.1423277,77.76,0.697015901,0.817701728,717.1979244,290.25,2.601708657,0.817701728,944.6997776,382.32,3.426994845,4.02036683,172.7946627,69.93,0.626830272,0.735363707,13789800,3407.412898,1378.98,12.360738,14.50095588,66883500,16526.68643,6688.35,59.9522415,70.33275918,5286.805041,2139.57,19.17842478,22.49910091,107.4128984,43.47,0.45711798,4068.569311,1646.55,14.75915035,21573000,5330.615271,2157.3,19.33735086,22.68554447,NLCD2016,102503700,25328.31727,10250.37,91.88105553,107.7899339,57346,1451.157393,587.2625,4.33844115,4.9484691
ME18b072122,sample,ME,18,7/21/2022,,,,,,,18,7/21/2022,7/21/2022,11:49,SANDY RIVER - STATION 18,B,7.21,38.8,0,55,25,10,10,0,0,0,0,60,15,25,0,0,0,90314.89993,36550.44,89875.46331,36372.6,7.116382506,2.88,0.007879522,0.007918048,74.49962936,30.15,0.082488747,0.082892067,399.851742,161.82,0.442730648,0.082892067,481.4677539,194.85,0.533098918,0.535705449,0.444773907,0.18,0.00049247,0.000494878,6398100,1580.948851,639.81,1.750485083,1.759043896,339725700,83945.07042,33972.57,92.94708901,93.40154402,2557.67235,1035.09,2.831949492,2.845796011,122.9799852,49.77,0.13683377,439.4366197,177.84,0.48656049,9717300,2401.111935,971.73,2.658600006,2.671598951,NLCD2016,356972400,88206.67161,35697.24,97.66569158,98.1432177,56761,778.3079014,314.97,0.86323477,0.86813049
ME674b071822,sample,ME,674,7/18/2022,,,,,,,674,7/18/2022,7/18/2022,10:43,WILD RIVER - STATION 674,AA,7.25,19.9,0,30,20,35,15,0,0,0,0,35,35,30,0,0,0,41802.07561,16917.3,41793.40252,16913.79,0,0,0,0,0.889547813,0.36,0.002127999,0.002128441,5.114899926,2.07,0.012235995,0.002128441,6.004447739,2.43,0.014363994,0.014366975,0,0,0,0,67500,16.6790215,6.75,0.039899984,0.039908264,167461200,41379.09563,16746.12,98.9881364,99.00867872,272.2016308,110.16,0.65116774,0.651302872,14.23276501,5.76,0.034055052,8.673091179,3.51,0.020747992,513900,126.9829503,51.39,0.303771878,0.303834918,NLCD2016,168687900,41682.20904,16868.79,99.71325211,99.73394491,57416,42.37857735,17.15,0.3977351,0.39791529
ME837b072022,sample,ME,837,7/20/2022,,,,,,,837,7/20/2022,7/20/2022,12:30,VAUGHAN BROOK - STATION 837,B,7.91,324.6,10,45,35,5,5,0,0,0,0,90,0,10,0,0,0,3699.629355,1497.24,3685.841364,1491.66,30.91178651,12.51,0.835537389,0.838662966,109.414381,44.28,2.957441693,2.968504887,204.595997,82.8,5.530175523,2.968504887,344.9221646,139.59,9.323154604,9.35803065,1.33432172,0.54,0.036066362,0.036201279,3059100,755.8932543,305.91,20.43159413,20.50802462,7281900,1799.332839,728.19,48.6354893,48.81742488,461.897702,186.93,12.48497235,12.53167612,15.78947368,6.39,0.428381803,13.7879911,5.58,0.372685742,5695200,1407.26464,569.52,38.0379899,38.18028237,NLCD2016,12274200,3032.913269,1227.42,81.97884107,82.28550742,64100,185.7182465,75.1575,5.00067368,5.00795429
MECBSb072122,sample,ME,CBS,7/21/2022,,,,,,,1210,7/21/2022,7/21/2022,11:15,CURRIER BROOK - STATION 1210,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME755b072022,sample,ME,755,7/20/2022,,,,,,,755,7/20/2022,7/20/2022,12:00,MARTIN STREAM (DIXMONT) - STATION 755,A,7.69,119.6,5,25,25,25,20,0,0,0,0,10,20,70,0,0,0,12448.77687,5038.02,12442.32765,5035.41,1.111934766,0.45,0.00893208,0.00893671,11.11934766,4.5,0.089320805,0.089367102,106.9681245,43.29,0.85926614,0.089367102,119.199407,48.24,0.957519025,0.958015335,11.78650852,4.77,0.094680053,0.094729128,4067100,1004.966642,406.71,8.07281432,8.076998695,38997900,9636.249073,3899.79,77.40719568,77.44731809,1336.545589,540.9,10.73636071,10.74192568,73.8324685,29.88,0.593397558,6.449221646,2.61,0.051806067,4225500,1044.106746,422.55,8.387223552,8.391570895,NLCD2016,48772800,12051.59377,4877.28,96.80946086,96.85964003,57497,243.8189054,98.67,1.91392479,1.91618092
ME1149b071422,sample,ME,1149,7/14/2022,,,,,,,1149,7/14/2022,7/14/2022,14:30,BEAVERDAM STREAM - STATION 1149,AA,6.75,55.5,0,30,50,10,10,0,0,0,0,50,0,50,0,0,0,5914.158636,2393.46,5548.554485,2245.5,1.33432172,0.54,0.02256148,0.024048096,12.67605634,5.13,0.21433406,0.228456914,8.228317272,3.33,0.139129127,0.228456914,22.23869533,9,0.376024667,0.400801603,123.869533,50.13,2.094457396,2.23246493,174600,43.14306894,17.46,0.729487854,0.77755511,19422900,4799.332839,1942.29,81.14988343,86.49699399,838.176427,339.21,14.17236971,15.10621242,4.002965159,1.62,0.072144289,365.6041512,147.96,6.181845529,928800,229.5033358,92.88,3.880574566,4.136272545,NLCD2016,23005800,5684.6553,2300.58,96.11942543,102.4529058,134342,42.66317246,17.2652,0.67978514,0.71875966
ME268b071922,sample,ME,268,7/19/2022,,,,,,,268,7/19/2022,7/19/2022,9:09,WEST BRANCH SHEEPSCOT RIVER - STATION 268,AA,7.46,94.9,0,15,20,25,25,0,0,0,15,20,20,60,0,0,0,8515.418829,3446.19,8181.171238,3310.92,1.779095626,0.72,0.020892638,0.021746222,26.46404744,10.71,0.31077799,0.323475046,113.8621201,46.08,1.337128829,0.323475046,142.1052632,57.51,1.668799457,1.73697945,41.36397331,16.74,0.485753832,0.505599652,3129300,773.2394366,312.93,9.080462772,9.45145156,24282000,6000,2428.2,70.46042151,73.33913233,1273.387695,515.34,14.95390562,15.56485811,4.892512973,1.98,0.059802109,334.2475908,135.27,3.925204356,4083300,1008.969607,408.33,11.8487373,12.33282592,NLCD2016,32584500,8051.519644,3258.45,94.55224465,98.4152441,57011,314.3427886,127.21,3.33915627,3.46556333
ME977b071922,sample,ME,977,7/19/2022,,,,,,,977,7/19/2022,7/19/2022,12:30,PERKINS STREAM - STATION 977,B,7.9,828,0,5,80,10,5,0,0,0,0,60,0,35,5,0,0,833.283914,337.23,833.0615271,337.14,86.73091179,35.1,10.40832666,10.41110518,113.8621201,46.08,13.66426475,13.66791244,130.0963677,52.65,15.61248999,13.66791244,330.6893996,133.83,39.6850814,39.69567539,0,0,0,0,24300,6.004447739,2.43,0.720576461,0.72076882,1306800,322.9058562,130.68,38.7510008,38.76134544,34.02520385,13.77,4.083266613,4.084356647,0.889547813,0.36,0.106780566,0.222386953,0.09,0.026688017,1921500,474.7961453,192.15,56.97891647,56.99412707,NLCD2016,1472400,363.8250556,147.24,43.66159594,43.67325147,0,0,0,0,0
ME1038b071922,sample,ME,1038,7/19/2022,,,,,,,1038,7/19/2022,7/19/2022,14:00,FISH BROOK - STATION 1038,B,8.97,217.8,0,35,30,0,20,15,0,0,0,50,NA,50,0,0,20,4791.549296,1939.14,4782.876205,1935.63,4.892512973,1.98,0.10210712,0.102292277,33.58042995,13.59,0.700826139,0.702096992,130.9859155,53.01,2.733686067,0.702096992,169.4588584,68.58,3.536619326,3.543032501,75.83395107,30.69,1.582660355,1.585530292,4589100,1133.951075,458.91,23.6656456,23.70856,11033100,2726.24166,1103.31,56.89687181,57.0000465,541.0674574,218.97,11.29211919,11.3125959,16.01186064,6.48,0.334774725,8.673091179,3.51,0.181008076,5919300,1462.638992,591.93,30.52538754,30.58074115,NLCD2016,17876700,4417.272053,1787.67,92.18880535,92.35597712,0,0,0,0,0
ME768b072722,sample,ME,768,7/27/2022,,,,,,,768,7/27/2022,7/27/2022,14:30,CARRYING PLACE STREAM - STATION 768,A,7.4,45.2,40,40,10,5,5,0,0,0,0,30,20,20,30,0,0,6529.058562,2642.31,6218.606375,2516.67,0,0,0,0,1.556708673,0.63,0.023842774,0.025033079,7.561156412,3.06,0.115807759,0.025033079,9.117865085,3.69,0.139650533,0.146622322,0,0,0,0,1602000,395.8487769,160.2,6.062876801,6.365554483,22984200,5679.318013,2298.42,86.98525154,91.32782606,295.5522609,119.61,4.526720937,4.752708937,0,0,0,310.4521868,125.64,4.754930345,640800,158.3395107,64.08,2.42515072,2.546221793,NLCD2016,25782300,6370.719051,2578.23,97.57484928,102.4460895,57510,4.28727882,1.735,0.06538066,0.06875365
ME1211b072522,sample,ME,1211,7/25/2022,,,,,,,1211,7/25/2022,7/25/2022,8:41,FILLIBROWN STREAM - STATION 1211,B,7.56,175.2,0,15,30,30,25,0,0,0,0,10,15,75,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ME869b072622,sample,ME,869,7/26/2022,,,,,,,869,7/26/2022,7/26/2022,11:30,BURNHAM BROOK - STATION 869,A,7.57,96.8,5,10,45,20,15,5,0,0,0,40,10,50,0,0,0,5180.059303,2096.37,4769.3106,1930.14,0,0,0,0,0.444773907,0.18,0.008586271,0.009325748,17.79095626,7.2,0.343450822,0.009325748,18.23573017,7.38,0.352037093,0.382355684,0,0,0,0,81900,20.23721275,8.19,0.39067531,0.424321552,18331200,4529.577465,1833.12,87.44257932,94.97342162,539.9555226,218.52,10.42373245,11.32145855,2.446256486,0.99,0.051291616,410.7487027,166.23,7.929420856,355500,87.84284655,35.55,1.695788434,1.841835307,NLCD2016,20608200,5092.216457,2060.82,98.30421157,106.7704933,74961,19.8240313,8.0225,0.35943302,0.38898714
ME1212b072522,sample,ME,1212,7/25/2022,,,,,,,1212,7/25/2022,7/28/2022,12:24,KATAHADIN BROOK - STATION 1212,AA,7.43,29.2,0,20,35,15,30,0,0,0,0,40,5,55,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ME841b072622,sample,ME,841,7/26/2022,,,,,,,841,7/26/2022,7/26/2022,14:00,NORTH BROOK - STATION 841,A,7.06,55.9,0,5,70,10,5,0,0,0,10,25,5,70,0,0,0,2267.90215,917.82,2267.012602,917.46,0,0,0,0,0,0,0,0,12.67605634,5.13,0.558933124,0,12.67605634,5.13,0.558933124,0.559152443,0,0,0,0,312300,77.16827279,31.23,3.402627966,3.403963116,8055900,1990.585619,805.59,87.77211218,87.80655287,114.084507,46.17,5.030398117,5.032371984,0.889547813,0.36,0.039238768,0.889547813,0.36,0.039223377,344700,85.17420311,34.47,3.75563836,3.757112027,NLCD2016,8833500,2182.727947,883.35,96.24436164,96.28212674,64110,7.09192519,2.87,0.32482415,0.32482415
